Tue Mar 24 17:30:04 2026    profiling_results/s3_inference_metadata_burst_run2.prof

         1119691 function calls (1094421 primitive calls) in 0.865 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1229    0.002    0.000    0.008    0.000 regions.py:578(_resolve_param_from_context)
       74    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1017(exec_module)
    11261    0.005    0.000    0.008    0.000 awsrequest.py:592(__init__)
  2288/80    0.004    0.000    0.008    0.000 copy.py:119(deepcopy)
        5    0.000    0.000    0.008    0.002 response.py:198(__call__)
      112    0.000    0.000    0.008    0.000 endpoint.py:350(_needs_retry)
       75    0.001    0.000    0.008    0.000 serialize.py:422(serialize_to_request)
      224    0.001    0.000    0.007    0.000 hooks.py:414(emit_until_response)
      224    0.001    0.000    0.007    0.000 auth.py:81(_host_from_url)
       75    0.000    0.000    0.007    0.000 transform.py:35(copy_dynamodb_params)
       75    0.000    0.000    0.007    0.000 transform.py:215(inject_attribute_value_input)
        1    0.000    0.000    0.007    0.007 models.py:72(__enter__)
        1    0.000    0.000    0.007    0.007 models.py:79(start)
        1    0.001    0.001    0.007    0.007 models.py:212(_enable_patching)
     3744    0.004    0.000    0.006    0.000 message.py:433(__setitem__)
    11261    0.004    0.000    0.006    0.000 awsrequest.py:596(__hash__)
     1347    0.001    0.000    0.006    0.000 <frozen genericpath>:48(isdir)
        4    0.000    0.000    0.006    0.002 args.py:686(_build_endpoint_resolver)
   167/76    0.001    0.000    0.006    0.000 copy.py:218(_deepcopy_dict)
     5824    0.004    0.000    0.006    0.000 random.py:245(_randbelow_with_getrandbits)
    25303    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
      112    0.001    0.000    0.006    0.000 endpoint.py:140(_encode_headers)
     1955    0.003    0.000    0.006    0.000 <frozen os>:712(__getitem__)
       74    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
      224    0.000    0.000    0.006    0.000 hooks.py:258(emit_until_response)
      112    0.000    0.000    0.006    0.000 auth.py:334(payload)
      112    0.000    0.000    0.006    0.000 auth.py:417(signature)
     7783    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x7fda030facc0}
       74    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
  336/122    0.000    0.000    0.006    0.000 configprovider.py:489(get_config_variable)
     4621    0.003    0.000    0.006    0.000 {method 'update' of 'collections.OrderedDict' objects}
       37    0.000    0.000    0.006    0.000 responses.py:357(_send_response)
       37    0.000    0.000    0.006    0.000 parsers.py:1119(_do_parse)
     2040    0.001    0.000    0.005    0.000 endpoint_provider.py:323(boolean_equals)
      681    0.003    0.000    0.005    0.000 factory.py:541(_create_action)
      770    0.001    0.000    0.005    0.000 types.py:86(serialize)
    18793    0.005    0.000    0.005    0.000 {method 'encode' of 'str' objects}
  402/200    0.001    0.000    0.005    0.000 configprovider.py:706(provide)
     3427    0.003    0.000    0.005    0.000 endpoint_provider.py:122(convert_func_name)
      560    0.001    0.000    0.005    0.000 auth.py:235(_sign)
      636    0.003    0.000    0.005    0.000 parse.py:374(urlparse)
      112    0.000    0.000    0.005    0.000 responses.py:442(get_current_account)
      733    0.002    0.000    0.005    0.000 message.py:541(get_all)
    10502    0.005    0.000    0.005    0.000 __init__.py:155(xform_name)
       37    0.000    0.000    0.005    0.000 parsers.py:1127(_add_modeled_parse)
       70    0.002    0.000    0.005    0.000 utils.py:97(metadata_from_headers)
    10710    0.004    0.000    0.005    0.000 inspect.py:386(isfunction)
     2216    0.002    0.000    0.005    0.000 __init__.py:164(match)
        4    0.000    0.000    0.005    0.001 regions.py:466(__init__)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:704(__init__)
        4    0.000    0.000    0.005    0.001 endpoint_provider.py:654(__init__)
     2935    0.002    0.000    0.005    0.000 model.py:349(_load_name_with_category)
     3942    0.003    0.000    0.005    0.000 __init__.py:330(_compile)
    32026    0.005    0.000    0.005    0.000 {built-in method builtins.len}
  1835/75    0.002    0.000    0.005    0.000 serialize.py:450(_serialize)
     3362    0.004    0.000    0.005    0.000 docstring.py:39(__new__)
     2819    0.002    0.000    0.005    0.000 validate.py:226(_check_special_validation_cases)
   865/75    0.001    0.000    0.005    0.000 serialize.py:458(_serialize_type_structure)
   896/12    0.001    0.000    0.005    0.000 endpoint_provider.py:557(create)
     8782    0.005    0.000    0.005    0.000 {method 'copy' of 'collections.OrderedDict' objects}
       75    0.000    0.000    0.005    0.000 parsers.py:1084(_do_parse)
      224    0.001    0.000    0.005    0.000 responses.py:428(get_access_key)
    312/8    0.002    0.000    0.005    0.001 endpoint_provider.py:531(__init__)
        4    0.000    0.000    0.005    0.001 client.py:192(_create_client_class)
       77    0.000    0.000    0.005    0.000 awsrequest.py:483(body)
     2281    0.002    0.000    0.005    0.000 {built-in method builtins.all}
     9805    0.004    0.000    0.004    0.000 {method 'index' of 'list' objects}
     1798    0.001    0.000    0.004    0.000 validate.py:313(_validate_string)
     4344    0.002    0.000    0.004    0.000 utils.py:1481(_cache_guard)
     4561    0.003    0.000    0.004    0.000 model.py:102(__init__)
      112    0.001    0.000    0.004    0.000 retryhandler.py:191(__call__)
      224    0.001    0.000    0.004    0.000 utils.py:1287(is_valid_ipv6_endpoint_url)
        4    0.000    0.000    0.004    0.001 args.py:230(compute_client_args)
       74    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1548(find_spec)
       77    0.001    0.000    0.004    0.000 model.py:465(actions)
      112    0.000    0.000    0.004    0.000 httpchecksum.py:315(resolve_checksum_context)
       74    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
       37    0.001    0.000    0.004    0.000 parsers.py:1179(_parse_non_payload_attrs)
  401/217    0.001    0.000    0.004    0.000 parsers.py:343(_parse_shape)
      212    0.000    0.000    0.004    0.000 configprovider.py:799(provide)
      492    0.001    0.000    0.004    0.000 {built-in method builtins.any}
       70    0.001    0.000    0.004    0.000 responses.py:138(validate_put_has_empty_attrs)
      698    0.002    0.000    0.004    0.000 inspect.py:3051(__init__)
       70    0.000    0.000    0.004    0.000 responses.py:314(parse_key_name)
       35    0.001    0.000    0.004    0.000 models.py:2213(put_object)
     7222    0.003    0.000    0.004    0.000 awsrequest.py:599(__eq__)
       70    0.000    0.000    0.004    0.000 serialize.py:480(_serialize_type_map)
      765    0.001    0.000    0.004    0.000 base_backend.py:350(__getitem__)
        4    0.000    0.000    0.004    0.001 client.py:572(_create_methods)
        4    0.000    0.000    0.004    0.001 endpoint.py:390(create_endpoint)
       74    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
      224    0.001    0.000    0.004    0.000 auth.py:325(signed_headers)
  240/224    0.000    0.000    0.004    0.000 session.py:320(get_config_variable)
      220    0.000    0.000    0.004    0.000 session.py:391(get_scoped_config)
    13475    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
      112    0.001    0.000    0.004    0.000 signers.py:206(_choose_signer)
     3362    0.004    0.000    0.004    0.000 docstring.py:28(__init__)
      112    0.000    0.000    0.004    0.000 retryhandler.py:276(__call__)
     1232    0.001    0.000    0.004    0.000 __init__.py:652(__init__)
       75    0.000    0.000    0.004    0.000 parsers.py:1110(_handle_json_body)
     4054    0.002    0.000    0.003    0.000 __init__.py:1498(debug)
   840/70    0.002    0.000    0.003    0.000 table.py:545(_validate_item_types)
     5147    0.002    0.000    0.003    0.000 utils.py:47(_has_surrogates)
     1188    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
       35    0.001    0.000    0.003    0.000 responses.py:2304(_acl_from_headers)
      220    0.001    0.000    0.003    0.000 __init__.py:185(dumps)
     6180    0.002    0.000    0.003    0.000 endpoint_provider.py:60(is_func)
       70    0.002    0.000    0.003    0.000 responses.py:97(validate_put_has_empty_keys)
     2994    0.002    0.000    0.003    0.000 utils.py:238(is_json_value_header)
        6    0.000    0.000    0.003    0.001 httpsession.py:298(__init__)
      336    0.001    0.000    0.003    0.000 client.py:590(_create_api_method)
   185/84    0.001    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
       77    0.003    0.000    0.003    0.000 {built-in method builtins.dir}
    13285    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
      112    0.000    0.000    0.003    0.000 retryhandler.py:304(_should_retry)
       37    0.001    0.000    0.003    0.000 serialize.py:778(serialize_to_request)
      259    0.000    0.000    0.003    0.000 endpoint_provider.py:513(evaluate)
        4    0.000    0.000    0.003    0.001 client.py:244(_register_retries)
        6    0.000    0.000    0.003    0.001 httpsession.py:347(_get_pool_manager_kwargs)
        4    0.000    0.000    0.003    0.001 client.py:267(_register_legacy_retries)
        6    0.000    0.000    0.003    0.001 httpsession.py:361(_get_ssl_context)
        6    0.000    0.000    0.003    0.001 httpsession.py:113(create_urllib3_context)
      112    0.001    0.000    0.003    0.000 utils.py:852(lowercase_dict)
     3314    0.002    0.000    0.003    0.000 model.py:382(_get_name)
      112    0.001    0.000    0.003    0.000 retryhandler.py:361(__call__)
      823    0.002    0.000    0.003    0.000 message.py:463(__contains__)
      764    0.001    0.000    0.003    0.000 model.py:59(__init__)
      472    0.001    0.000    0.003    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.003    0.001 responses.py:325(bucket_dispatch)
     5969    0.002    0.000    0.003    0.000 endpoint_provider.py:68(is_ref)
     2984    0.003    0.000    0.003    0.000 {method 'decode' of 'bytes' objects}
     1267    0.001    0.000    0.003    0.000 responses.py:284(<genexpr>)
        2    0.000    0.000    0.003    0.001 responses.py:344(bucket_response)
      673    0.001    0.000    0.003    0.000 __init__.py:183(sub)
       35    0.001    0.000    0.003    0.000 models.py:117(__init__)
       77    0.000    0.000    0.003    0.000 factory.py:301(_load_waiters)
      112    0.001    0.000    0.003    0.000 httpchecksum.py:321(resolve_request_checksum_algorithm)
     3722    0.002    0.000    0.003    0.000 awsrequest.py:626(<genexpr>)
      783    0.002    0.000    0.003    0.000 regions.py:628(_resolve_param_as_builtin)
     1812    0.002    0.000    0.003    0.000 validate.py:73(range_check)
        4    0.000    0.000    0.003    0.001 gzip.py:335(read)
    11402    0.003    0.000    0.003    0.000 {built-in method builtins.hash}
        4    0.000    0.000    0.003    0.001 _compression.py:113(readall)
      220    0.001    0.000    0.003    0.000 encoder.py:185(encode)
      840    0.001    0.000    0.003    0.000 table.py:384(attribute_keys)
        6    0.000    0.000    0.003    0.000 ssl.py:430(__new__)
      560    0.000    0.000    0.003    0.000 hmac.py:167(new)
      112    0.000    0.000    0.003    0.000 auth.py:455(_modify_request_before_signing)
      448    0.001    0.000    0.003    0.000 hooks.py:30(__copy__)
     1963    0.002    0.000    0.003    0.000 <frozen os>:794(encode)
      249    0.000    0.000    0.003    0.000 responses.py:212(backend)
      112    0.000    0.000    0.003    0.000 awsrequest.py:555(__init__)
     1319    0.002    0.000    0.003    0.000 base_backend.py:273(__getitem__)
      112    0.000    0.000    0.003    0.000 endpoint.py:182(_update_retries_context)
     2698    0.001    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
      980    0.002    0.000    0.003    0.000 dynamo_type.py:64(__init__)
      765    0.002    0.000    0.002    0.000 base_backend.py:370(_create_account_specific_backend)
        9    0.000    0.000    0.002    0.000 gzip.py:521(read)
      770    0.001    0.000    0.002    0.000 types.py:118(_get_dynamodb_type)
     1232    0.001    0.000    0.002    0.000 __init__.py:384(__init__)
      453    0.001    0.000    0.002    0.000 parse.py:164(hostname)
     1022    0.001    0.000    0.002    0.000 model.py:52(hyphenize)
      117    0.000    0.000    0.002    0.000 contextlib.py:145(__exit__)
      154    0.001    0.000    0.002    0.000 utils.py:53(_handler)
        5    0.000    0.000    0.002    0.000 response.py:282(handle_response_item)
      698    0.001    0.000    0.002    0.000 inspect.py:176(get_annotations)
