Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run5.prof

         331749 function calls (322110 primitive calls) in 0.301 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 responses.py:325(bucket_dispatch)
       46    0.000    0.000    0.002    0.000 responses.py:234(subdomain_based_buckets)
        2    0.000    0.000    0.002    0.001 responses.py:344(bucket_response)
      107    0.000    0.000    0.002    0.000 message.py:495(items)
       13    0.000    0.000    0.002    0.000 parsers.py:1110(_handle_json_body)
      687    0.001    0.000    0.002    0.000 inspect.py:2763(__init__)
     1506    0.001    0.000    0.002    0.000 utils.py:1481(_cache_guard)
       23    0.000    0.000    0.002    0.000 auth.py:445(_inject_signature_to_request)
     1309    0.001    0.000    0.002    0.000 _policybase.py:319(header_fetch_parse)
      566    0.000    0.000    0.002    0.000 <frozen _collections_abc>:808(get)
       72    0.001    0.000    0.002    0.000 dynamo_type.py:298(__setitem__)
       46    0.000    0.000    0.002    0.000 hooks.py:414(emit_until_response)
       23    0.000    0.000    0.002    0.000 auth.py:301(canonical_headers)
        5    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
        8    0.000    0.000    0.002    0.000 ImageFile.py:641(_save)
    14820    0.002    0.000    0.002    0.000 useragent.py:153(<genexpr>)
     3941    0.001    0.000    0.002    0.000 <frozen posixpath>:42(_get_sep)
       30    0.000    0.000    0.002    0.000 responses.py:295(parse_bucket_name_from_url)
     3463    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
    57/13    0.000    0.000    0.002    0.000 parsers.py:686(_handle_structure)
        8    0.000    0.000    0.002    0.000 ImageFile.py:669(_encode_tile)
      582    0.000    0.000    0.002    0.000 configprovider.py:833(provide)
       23    0.000    0.000    0.002    0.000 endpoint.py:350(_needs_retry)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1017(exec_module)
        8    0.000    0.000    0.002    0.000 model.py:271(load_rename_map)
     7437    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      274    0.000    0.000    0.002    0.000 regions.py:578(_resolve_param_from_context)
      412    0.000    0.000    0.002    0.000 <frozen _collections_abc>:897(__iter__)
        5    0.000    0.000    0.002    0.000 utils.py:3190(get_environ_proxies)
        8    0.002    0.000    0.002    0.000 {method 'encode' of 'ImagingEncoder' objects}
        6    0.000    0.000    0.002    0.000 model.py:403(get_attributes)
        1    0.000    0.000    0.002    0.002 factory.py:505(create_resource)
       10    0.001    0.000    0.002    0.000 request.py:2501(getproxies_environment)
     1659    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
     1309    0.001    0.000    0.002    0.000 _policybase.py:289(_sanitize_header)
        8    0.000    0.000    0.002    0.000 validate.py:351(_validate_map)
        4    0.000    0.000    0.002    0.000 translate.py:19(build_retry_config)
     2425    0.001    0.000    0.002    0.000 awsrequest.py:592(__init__)
       13    0.000    0.000    0.002    0.000 transform.py:165(inject_condition_expressions)
     6739    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     1232    0.001    0.000    0.002    0.000 __init__.py:780(add)
     1070    0.001    0.000    0.002    0.000 endpoint_provider.py:122(convert_func_name)
       10    0.000    0.000    0.001    0.000 responses.py:357(_send_response)
      576    0.000    0.000    0.001    0.000 endpoint_provider.py:323(boolean_equals)
        4    0.000    0.000    0.001    0.000 endpoint.py:433(_get_proxies)
       16    0.000    0.000    0.001    0.000 utils.py:97(metadata_from_headers)
       46    0.000    0.000    0.001    0.000 auth.py:81(_host_from_url)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
     2425    0.001    0.000    0.001    0.000 awsrequest.py:596(__hash__)
        4    0.000    0.000    0.001    0.000 client.py:390(_register_s3_events)
        4    0.000    0.000    0.001    0.000 client.py:318(_register_endpoint_discovery)
      782    0.001    0.000    0.001    0.000 message.py:433(__setitem__)
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
