Tue Mar 24 17:29:29 2026    profiling_results/inference_patch_pipeline_full_run4.prof

         331751 function calls (322112 primitive calls) in 0.319 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   668/52    0.000    0.000    0.003    0.000 transform.py:291(_transform_parameters)
     1232    0.001    0.000    0.003    0.000 __init__.py:384(__init__)
   300/52    0.000    0.000    0.003    0.000 transform.py:300(_transform_structure)
      942    0.001    0.000    0.003    0.000 awsrequest.py:616(__setitem__)
     1196    0.001    0.000    0.003    0.000 random.py:345(choice)
       46    0.000    0.000    0.003    0.000 responses.py:234(subdomain_based_buckets)
        5    0.000    0.000    0.002    0.000 response.py:282(handle_response_item)
        8    0.000    0.000    0.002    0.000 JpegImagePlugin.py:663(_save)
       61    0.000    0.000    0.002    0.000 awsrequest.py:612(__init__)
     1006    0.001    0.000    0.002    0.000 <frozen os>:712(__getitem__)
   582/18    0.001    0.000    0.002    0.000 copy.py:119(deepcopy)
       13    0.000    0.000    0.002    0.000 parsers.py:1084(_do_parse)
6613/6599    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
   231/47    0.000    0.000    0.002    0.000 parsers.py:343(_parse_shape)
        8    0.000    0.000    0.002    0.000 dynamo_type.py:317(__init__)
      107    0.000    0.000    0.002    0.000 message.py:495(items)
       12    0.000    0.000    0.002    0.000 args.py:396(compute_s3_config)
        4    0.000    0.000    0.002    0.001 session.py:510(get_credentials)
       23    0.000    0.000    0.002    0.000 auth.py:445(_inject_signature_to_request)
       12    0.000    0.000    0.002    0.000 configprovider.py:867(provide)
       30    0.000    0.000    0.002    0.000 responses.py:295(parse_bucket_name_from_url)
      566    0.000    0.000    0.002    0.000 <frozen _collections_abc>:808(get)
     1309    0.001    0.000    0.002    0.000 _policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.002    0.002 session.py:193(_create_credential_resolver)
        1    0.000    0.000    0.002    0.002 credentials.py:84(create_credential_resolver)
       46    0.000    0.000    0.002    0.000 hooks.py:414(emit_until_response)
       23    0.000    0.000    0.002    0.000 auth.py:301(canonical_headers)
       13    0.000    0.000    0.002    0.000 parsers.py:1110(_handle_json_body)
      687    0.001    0.000    0.002    0.000 inspect.py:2763(__init__)
     3941    0.001    0.000    0.002    0.000 <frozen posixpath>:42(_get_sep)
        8    0.000    0.000    0.002    0.000 ImageFile.py:641(_save)
     1506    0.001    0.000    0.002    0.000 utils.py:1481(_cache_guard)
    14820    0.002    0.000    0.002    0.000 useragent.py:153(<genexpr>)
        5    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib._ZlibDecompressor' objects}
       72    0.001    0.000    0.002    0.000 dynamo_type.py:298(__setitem__)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1017(exec_module)
        8    0.000    0.000    0.002    0.000 ImageFile.py:669(_encode_tile)
        5    0.000    0.000    0.002    0.000 utils.py:3190(get_environ_proxies)
        6    0.000    0.000    0.002    0.000 model.py:403(get_attributes)
     3463    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
    57/13    0.000    0.000    0.002    0.000 parsers.py:686(_handle_structure)
       10    0.001    0.000    0.002    0.000 request.py:2501(getproxies_environment)
        8    0.000    0.000    0.002    0.000 model.py:271(load_rename_map)
       23    0.000    0.000    0.002    0.000 endpoint.py:350(_needs_retry)
      412    0.000    0.000    0.002    0.000 <frozen _collections_abc>:897(__iter__)
      274    0.000    0.000    0.002    0.000 regions.py:578(_resolve_param_from_context)
        8    0.002    0.000    0.002    0.000 {method 'encode' of 'ImagingEncoder' objects}
      582    0.000    0.000    0.002    0.000 configprovider.py:833(provide)
     7437    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     1659    0.002    0.000    0.002    0.000 {method 'decode' of 'bytes' objects}
     1309    0.001    0.000    0.002    0.000 _policybase.py:289(_sanitize_header)
        1    0.000    0.000    0.002    0.002 factory.py:505(create_resource)
